id,operation,property_type,place_name,state_name,lat,lon,surface_covered_in_m2,floor,rooms,price
b43f7504d306499566bb78aba1d96f00b8f13839,sell,apartment,Santo Amaro,São Paulo,-23.65,-46.7,42,10,1,458000.0
a9e15d1ec2ca4c38bf1f1f9ac2fd0a3f2d393997,sell,apartment,Ondina,Bahia,-15.61667,-39.7,110,3,3,490000.0
b249c9d87dca9a398bb0670bc66be3896fc4f39b,sell,apartment,Cerqueira César,São Paulo,-23.03,-49.10697,180,8,2,2580000.0
fd9f9486288c48fa114b83a6515de7f1828d1db5,sell,apartment,Águas Claras,Distrito Federal,-15.83622,-48.03557,151,15,4,848000.0
b1333773964e7fede33624497222729263a383bf,sell,apartment,Setor Bueno,Goiás,-16.66899,-49.23266,275,19,4,1780000.0
610192aa6f33b310ed02cb909c915e732c1845fa,sell,apartment,Praia Grande,São Paulo,-24.0282,-46.475365,40,9,1,145000.0
14295976c60a6e08a98eedf64c3a64bfea57ba46,sell,apartment,Praia Grande,São Paulo,-24.0282,-46.475365,50,9,1,170000.0
b79c4b16e55b70ea1711fdb1d1d2e74d22312b9c,sell,apartment,Praia Grande,São Paulo,-24.0282,-46.475365,47,1,1,165000.0
340c48c3868c896ac3a5c3025aebb8d118a70bdf,sell,apartment,Praia Grande,São Paulo,-24.0282,-46.475365,72,3,2,250000.0
c2d41e2f2c56e69d7ae06380d5c1e5a541a8c68d,sell,apartment,Setor Bueno,Goiás,-16.657863,-49.26141,80,14,2,420000.0
42bb57ff34c8881e33e951aebcdd6ee192d73a26,sell,apartment,Setor Leste Vila Nova,Goiás,-16.66813,-49.247733,65,3,2,265000.0
6eef9131036519f0a92086afde9eddfd46469f88,sell,apartment,Setor Marista,Goiás,-16.686205,-49.27106,82,18,2,450000.0
42eb550f9be7b2aaa2df772229a8e5d0a4103754,sell,apartment,Setor Marista,Goiás,-16.69454,-49.259951,287,27,4,2295490.0
48e83d7107099ec8c995c796e9128dbf15dde058,sell,apartment,Parque Amazônia,Goiás,-16.731049,-49.29164,76,22,3,285000.0
5dff8def17d6a62b792208666f97af1aff7c778f,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,72,11,2,700000.0
2822c810a5d5ab1d35632286af152e0955665c60,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,265,2,4,1700000.0
788046908e573c33ca86c8c3805abbff5b29204a,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,52,6,2,280000.0
fba74f5ee16b266a03ba77d25c119ce5755002cc,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,105,4,3,545000.0
c81665b5aca90ab9453213fbb09acb0abd3ee227,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,140,2,4,900000.0
eb728944fbf48fdee343ccc02f13cf45f6945703,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,60,4,2,310000.0
00d3a688a54a0b882ce3ea35eac1f135fbbd6d1b,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,66,4,2,350000.0
f9e46f2218c7b47100c8ba2a79c7c0c513b66e98,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,144,2,4,860000.0
12318f11094d30a6c4b41b362fee356db433e84a,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,156,1,3,580000.0
72096803a1dcd2a9deda1ae233e08e4d52603725,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,51,3,3,320000.0
7d2366f47d4a4120beb6a162d4fdee8f16792e77,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,70,4,3,370000.0
c673f35414dd200046e0f2a32af0efd2c00b1dd5,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,60,4,2,400000.0
39d3f3bda952c9a0527c6b8f788f2561ec93b3bd,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,120,4,3,850000.0
32803d3885edc1b832d8c9535f22ce8eeed1ff39,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,60,4,2,340000.0
0ff93ad1bf2f626f1638f92103f05083b86a604e,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,95,2,3,700000.0
b712ec1bdde7f813543f7896bbd9e6cb88701dfc,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,60,4,2,210000.0
2fa5417b0b120064cd9b7656ab6035dd0caef59c,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,60,5,2,309000.0
304cc61144c0b815a67b58f98265b3d517c650ef,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,50,4,1,500000.0
98b7bae7f8f509d0d0d7eb8f6c50ed33fbce9ab0,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,72,6,2,400000.0
d6220ba6d0441ab8cc468c45754542aaa995d33b,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,60,4,2,375000.0
37215a36c0b94473f1d7dc59a7b071ef062b18aa,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,41,4,1,450000.0
8f8f025890b2d3e62dc7e25b817b1e1e39ad840e,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,82,1,2,450000.0
c14484f3d2d4123a4d7f266eb09e56157fda0e48,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,140,2,3,960000.0
f733eb6b3354c64cfee898f93c04cc860d95a9df,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,121,2,3,690000.0
ee8ff73e73ded3e582e067cf79df3edfcf01aab5,sell,apartment,Jabaquara,São Paulo,-23.63842,-46.645264,83,8,3,690000.0
b2bb87e5e2016a8705e3315c3c6a7eb8b1a0255c,sell,apartment,Santo André,São Paulo,-23.640903,-46.53793,75,11,2,430000.0
4cde6d2bd6560059955fbf84da3fe998929ba7c9,sell,apartment,Santo André,São Paulo,-23.66729,-46.548763,65,1,2,307400.0
20179109219bb3124828e0391af095d5271fa895,sell,house,Interlagos,São Paulo,-23.68551,-46.692987,95,2,3,614000.0
3de84fb6deb2e16edbd707d0a99c31b272b01d9a,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,36,1,1,115000.0
c0b52e57dd759bbbafc91d61d72781588941a0a3,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,80,1,2,370000.0
e8bb06d18e569ca0318eb4462f22ec79f104a719,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,65,1,2,190000.0
dd266ba5a27a8195b629e344e732a2044d262086,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,52,1,1,170000.0
ad8c1538b1425a520a96f3d01360249397ad5545,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,86,1,2,220000.0
79743002b476f42fd332e112353b92658d59f2d5,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,54,5,1,165000.0
5b60c9d8f967e2c94383e13121f5c413e902321a,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,83,1,2,396000.0
8daca8fee8709e02b58299fa15d3315101eafa44,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,126,1,3,595000.0
99c81a3cfcf46921c64a6394acf3ed57b936a83f,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,38,3,1,115000.0
0271abf1af4c9baea963a31efd4efb433d5385ff,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,70,9,2,220000.0
9a53ee576243c96370ef8a875a516610104c5b48,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,51,8,1,175000.0
3122dd31e8452d27415a95e025c096a94e7c70ea,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,28,1,1,110000.0
4af1aa06164108b5ac3b5646b7a87de7b07cfd82,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,39,2,1,135000.0
ef2cc8e1cb91a07e98e4473f9d80afd654499184,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,85,5,2,240000.0
6c17bc6cf5e40ce676115b2f5eff14b7ca56c84a,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,33,1,1,115000.0
8666a0f6870638ca610d96641ee8ccc95300387f,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,45,2,1,135000.0
776aec58e32ffedfc5c8531f93b0a940b57974dd,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,35,8,1,145000.0
4aeac03a1a879fda617249a04e590d7f81b1c794,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,62,1,1,160000.0
3c54c8839a3f66df28ce2f0e6924567f7a2619d9,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,101,1,3,275000.0
36db5be7087b38c24aba35a4ae22fe86dd2fdbb5,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,67,5,2,230000.0
61aec4f9b0f6d43aa8fde5d4e4ba3c0a3dfd35e0,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,80,5,2,270000.0
8da9a6fc0c8672eb1e806527d766247aebfb2a24,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,45,2,1,150000.0
e799807fcdd917d6002d3d7d8d43273c4edfb3d6,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,44,5,1,160000.0
ed2ad1dd7b6f59f8643837226daded36997d8a51,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,55,3,1,95000.0
263e666f729330178e9f7645d306d385e3d0ff9c,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,42,3,1,130000.0
2c633db911d011737210b4bd6c3d14cd00e7ff12,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,85,4,2,400000.0
2fef97dda9effd98a7757f060835c7f5d3689b72,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,80,1,2,190000.0
6b01c479302d0deb67024efffc2ba28506709c10,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,85,5,2,285000.0
072c8b50df9a9bd03489ddcf320f0a2cf5d57e51,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,59,3,1,158000.0
600fc95f2486e6f2fa62f799e39014bfdff44de2,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,34,3,1,140000.0
4d06494a709172f83c9c607a72d07f5d07bbc934,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,60,2,2,210000.0
47302c0d145bf5862a4f7e728013d470620d34f6,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,80,3,2,308000.0
c3556637a7a73de4c06418644e27e790c47be8d3,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,81,1,2,270000.0
4890dcd6206808109e17d4f3e1d53996c82c5aef,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,55,1,2,170000.0
b16f0bc37a10320a9ddc1135ee766b829451a36b,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,88,2,2,270000.0
a05df1f7190a7df8e2166058563ce765474bac19,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,88,2,2,240000.0
f223eabc43d7c3a886f5f21f99f27c9e03b48be9,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,40,1,1,207000.0
5e48f4fa829605bc1633e1ea5f8eb750de2b5d95,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,100,9,2,380000.0
3b321690c5964dd1cdd234a338c69a29c7c8c32e,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,50,5,1,165000.0
0afc58c4bf045afa4eb1bb849d5f2caf7c5c67e2,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,175,4,3,980000.0
154b9f1f39e3dc7432dbb4f8d0645f593a20891c,sell,apartment,Praia Grande,São Paulo,-24.00592,-46.416656,88,9,2,245000.0
89255d1a850626a901a679b14efcd68f108f7f18,sell,apartment,Pina,Pernambuco,-8.087018,-34.889873,57,3,2,370000.0
cd09f0c69a95a5c9330681dae3572c752b65981d,sell,apartment,Boa Viagem,Pernambuco,-8.116149,-34.896983,115,9,3,540000.0
c77053264c0746618817cc5426d466204c92c168,sell,apartment,Recife,Pernambuco,-8.132842,-34.911197,50,14,2,285000.0
2f8237b95689bca9e93c7f9942b1df22aaf30a0a,sell,apartment,Boa Viagem,Pernambuco,-8.134204,-34.906326,72,9,2,415000.0
8fda9c7794bd168e5778625d98d6d90fae833e9f,sell,apartment,Boa Viagem,Pernambuco,-8.142666,-34.906906,80,10,3,465000.0
9cae5d36b82d656ae971a39755849c5534ac541c,sell,apartment,Brasília,Distrito Federal,-15.666986,-48.199765,105,6,3,1005000.0
f127e401ff7d53190266586e43ce7da7cde04f86,sell,apartment,Asa Norte,Distrito Federal,-15.790271,-47.885182,44,7,1,457000.0
2ee2400c5ba6743329788f74a37f6ed71e742e23,sell,apartment,Asa Sul,Distrito Federal,-15.828585,-47.906581,50,3,2,320000.0
ec984fd5ff924913b88bf7465765f399f6eb11b4,sell,apartment,Águas Claras,Distrito Federal,-15.834124,-48.038563,90,12,3,570000.0
ecbf36b6fd5956b5c5191b27abcd8f11ecd40cec,sell,apartment,Águas Claras,Distrito Federal,-15.835165,-48.033176,154,2,4,653000.0
b90b333f40c71f273063ff29ec7b38e51e9ec513,sell,apartment,Águas Claras,Distrito Federal,-15.835252,-48.014602,60,17,2,325000.0
46e4cee30a25d41cdcee809963de6e7381dc8aca,sell,apartment,Setor Marista,Goiás,-16.598634,-49.338979,44,22,1,240000.0
64821341ca416df0af0b6572cd2c43263eacd235,sell,apartment,Parque Amazônia,Goiás,-16.626219,-49.206639,91,17,3,360000.0
fc421bc67b6141fb357f0a90e8a4ff4e456b58cf,sell,apartment,Jardim Atlântico,Goiás,-16.641292,-49.413219,74,20,3,265000.0
f8632c3d765b287dd58a2a4f62f97622cc304af0,sell,apartment,Goiânia,Goiás,-16.643697,-49.313273,66,13,2,305959.0
80f15246a2fe559b2717a6f4f78b5d6b4f1ef5e5,sell,apartment,Alto da Glória,Goiás,-16.649025,-49.310947,71,12,2,315000.0
165e1099498810fbf065934bf20aa5a4648bc8fe,sell,apartment,Alto da Glória,Goiás,-16.649025,-49.310947,71,12,2,315000.0
36ff91dda507cb35d5141294e852fb41e03e5189,sell,apartment,Setor Bela Vista,Goiás,-16.656276,-49.278043,92,11,4,280000.0
fae7afa43d193345e3425dce3c7b28778169b4d4,sell,apartment,Setor Bueno,Goiás,-16.657904,-49.261726,140,4,3,791007.0
f7517edf76b479cabcc2e0287af649855fbe66cc,sell,apartment,Parque Amazônia,Goiás,-16.664812,-49.358463,85,8,3,315000.0
06320f5fa22d0c76d0b5e25a6e7cac14e78211b2,sell,apartment,Setor Bueno,Goiás,-16.665164,-49.233557,113,11,3,330000.0
75c924d3e69b651d8003b36b313eeefe32ad43c0,sell,apartment,Setor Bueno,Goiás,-16.665373,-49.233412,120,19,4,560000.0
f54ed0c4e90f4835f1dd3f7db2976ee2153ace82,sell,apartment,Setor Bueno,Goiás,-16.665388,-49.233402,128,12,4,570000.0
00abc64123bbb1dfabddc4d38d285e785bb1144c,sell,apartment,Jardim Goiás,Goiás,-16.668905,-49.261114,130,9,3,650000.0
201a272ac7ef82d9bc0f58f579cb8b9f91506e06,sell,apartment,Setor Marista,Goiás,-16.668992,-49.232679,147,4,3,840000.0
63137bab11b1b3f05744390325ac6664a471e5b9,sell,apartment,Setor Bueno,Goiás,-16.669005,-49.232826,236,27,4,1716035.0
47f06a2c4bfd187d837f3e5d94b2c8d185551be3,sell,apartment,Setor Campinas,Goiás,-16.674693,-49.294235,68,22,2,250000.0
18ca1ba18abaa150e2be512ef9f07c0b9cc0447e,sell,apartment,Setor Oeste,Goiás,-16.681093,-49.271923,264,5,4,1963000.0
c8aefadac22cd84b55660847af8cb04aa29da9e8,sell,apartment,Setor Oeste,Goiás,-16.681093,-49.271923,240,12,4,1814437.0
927907517a8d2d82fbe2d32595b65236a6cf8737,sell,apartment,Goiânia,Goiás,-16.685624,-49.279432,58,3,2,215269.0
e9409d2f0071d1ccf0068f791313b91641afbef6,sell,apartment,Goiânia,Goiás,-16.685624,-49.279432,78,3,3,263860.0
ec950f9e3942ca23fdb2fa53512af2ecd60218c9,sell,apartment,Goiânia,Goiás,-16.686891,-49.264794,106,1,3,496798.0
dba0739ee33db93f74315863a62aafb14179c422,sell,apartment,Goiânia,Goiás,-16.686891,-49.264794,76,3,1,387385.0
dcd8d5793691e85ae9444e201355dbbda6c2a141,sell,apartment,Goiânia,Goiás,-16.686891,-49.264794,78,15,3,306000.0
ab68253257d8e85467429503e88c660f7c163d8c,sell,apartment,Setor Bueno,Goiás,-16.686891,-49.264794,383,27,4,3674999.0
acd172c356cad941d3cd2b6d698ebdedd3f9a39d,sell,apartment,Setor Bueno,Goiás,-16.686891,-49.264794,356,34,4,3380701.0
335c030a081a21e5edd3e130206abc3f4d71d1e3,sell,apartment,Setor Bueno,Goiás,-16.686891,-49.264794,383,27,4,3661855.0
709a846c895f3178f126774661dc29312ccb7ad2,sell,apartment,Setor Oeste,Goiás,-16.686891,-49.264794,330,22,4,2569251.0
6e6f107623b343e0049b3e8030fdcfe7e0200440,sell,apartment,Jardim Goiás,Goiás,-16.686891,-49.264794,128,3,4,726000.0
ffbbab2b1dd7706186bf58d6cfcb6e47a6f4823e,sell,apartment,Setor Marista,Goiás,-16.686891,-49.264794,412,30,4,3070080.0
6e91cbf20b3b9f5965a01dc07abc68d12128211f,sell,apartment,Setor Marista,Goiás,-16.686891,-49.264794,412,5,4,3272006.0
040cf12a28f9a0ac19634d8fd991cfd550906f17,sell,apartment,Setor Marista,Goiás,-16.686891,-49.264794,362,34,4,3073270.0
22f8c0a129fb9fcb6d2772fbab41fd69e7cd518a,sell,apartment,Setor Marista,Goiás,-16.686891,-49.264794,182,2902,3,1162195.0
1166ce27f74f8c6cad29e37e5bfbb67a2ad2bd12,sell,apartment,Setor Marista,Goiás,-16.686891,-49.264794,362,35,4,3010550.0
f29fca19042cddfe50e541d3e0e7dcdb15cd2e63,sell,apartment,Setor Marista,Goiás,-16.686891,-49.264794,182,32,3,1151573.0
d3424ad5d54b3621300cb030475831073203065d,sell,apartment,Setor Marista,Goiás,-16.686891,-49.264794,317,11,4,2854676.0
ad5145183b8fdc57a33b5c43a999c72aacc0ad17,sell,apartment,Setor Marista,Goiás,-16.686891,-49.264794,412,35,4,3010550.0
8d4c4ed63be2bafa3eb280a72fb93f2cebfc5b6e,sell,apartment,Setor Marista,Goiás,-16.686891,-49.264794,362,32,4,3041910.0
a80015b687d39cad117c18b827ea216c1ecbeb56,sell,apartment,Alto da Glória,Goiás,-16.686891,-49.264794,57,16,2,250000.0
cdd14823870c908d669328fc5535717481f29301,sell,apartment,Parque Amazônia,Goiás,-16.686891,-49.264794,72,16,3,295000.0
368f9840e4bdd98583e247abd250f85d19b57a52,sell,apartment,Residencial Eldorado,Goiás,-16.686891,-49.264794,81,14,3,315000.0
c546bac946574e2ddbd30f893c16404612e8df3b,sell,apartment,Residencial Granville,Goiás,-16.686891,-49.264794,64,12,2,208357.0
ce59821febe7fd950c5fa8eaaff8fb366a70ae3e,sell,apartment,Residencial Granville,Goiás,-16.686891,-49.264794,64,15,2,208357.0
fb75f0c9a9f0adf477d53f61931f846df8a4af31,sell,apartment,Setor Negrão de Lima,Goiás,-16.686891,-49.264794,59,12,2,225000.0
f452ba6e7bee29eeeb49a3345806ed619059a9f8,sell,apartment,Parque Oeste Industrial,Goiás,-16.686891,-49.264794,46,8,2,151500.0
2f204706055e485c37b7443a630f72041d96d8eb,sell,apartment,Setor Bueno,Goiás,-16.687289,-49.282031,177,17,4,850000.0
5b2b618a955b7fe5c938cc51a35a0d537b692609,sell,apartment,Setor Bueno,Goiás,-16.689434,-49.235973,125,17,3,740000.0
c2650981a9eee31d2291b7bbcb134c2059b06617,sell,apartment,Jardim Goiás,Goiás,-16.690139,-49.250104,41,19,1,210000.0
d3d1614e8909b4cd8d55ab88910470a7a1ec0605,sell,apartment,Setor Oeste,Goiás,-16.690567,-49.264254,49,9,1,245212.0
50b14f3709277792b90eaec99285dc483cf84f4b,sell,apartment,Setor Leste Vila Nova,Goiás,-16.691535,-49.266577,74,2,3,178000.0
81d85db80fecc2043fdfe77394ea56aab926ad83,sell,apartment,Setor Oeste,Goiás,-16.693385,-49.269734,121,3,3,390000.0
fa4c3f9e56606fc4fc2cd19ce14e07a10ebb4f57,sell,apartment,Setor Bueno,Goiás,-16.693957,-49.278135,142,13,4,700000.0
445dfe074989595388406cbffa040433d0c0eb50,sell,apartment,Setor Bueno,Goiás,-16.699814,-49.266269,44,34,1,315000.0
cac667da75aa222158077252371c1e905213bead,sell,apartment,Jardim Goiás,Goiás,-16.701563,-49.238306,97,3,3,460000.0
eec83b9217225683cb2f6dee8b86e33d557c0fa7,sell,apartment,Jardim América,Goiás,-16.701839,-49.287955,63,10,2,220000.0
13e3e28a83da7fce0b6b93bb0e70c2174e46858e,sell,apartment,Setor Marista,Goiás,-16.702919,-49.253848,217,9,4,1475000.0
f77c015200d229f1377204aabe8064dbfb04d653,sell,apartment,Jardim Goiás,Goiás,-16.703427,-49.235527,82,16,2,430000.0
27e86d04cbc8604163bf1cdda510d144569279e9,sell,apartment,Jardim América,Goiás,-16.703844,-49.281862,200,18,4,1300000.0
fcc7c26f9711f218b5d49b0a1ad535af10bc647c,sell,apartment,Jardim Goiás,Goiás,-16.704402,-49.242377,78,13,3,360000.0
7bfda6ab4bbaaafa08549d1c102664e31def4f87,sell,apartment,Residencial Eldorado,Goiás,-16.704675,-49.328186,94,20,3,400000.0
31bc3b17c1e89e4604beb047dd85aaac248279a5,sell,apartment,Setor Pedro Ludovico,Goiás,-16.706951,-49.249157,108,8,4,440000.0
9913a0432aa25a5eecc746006995af07429794f5,sell,apartment,Jardim América,Goiás,-16.709347,-49.289984,97,2,3,225000.0
7a692d73b3e10469a478376c4060dff412ab9d63,sell,apartment,Setor Pedro Ludovico,Goiás,-16.709801,-49.257969,33,4,1,95000.0
e1942dfffa195164cd77f3ee876a6fec7f7fd53b,sell,apartment,Setor Pedro Ludovico,Goiás,-16.710672,-49.246598,60,5,3,116000.0
2f6fe12dcb0d11121f4853faaf0da16bedc706a3,sell,apartment,Vila Maria José,Goiás,-16.713023,-49.240381,78,23,3,350000.0
5e8d4a9807cf1729b2e421128c096718ef5110d8,sell,apartment,Setor Bela Vista,Goiás,-16.716429,-49.261944,90,2,4,295000.0
28ad52e62b00a8ef9c31ca47de43f469839b16b7,sell,apartment,Serrinha,Goiás,-16.724855,-49.277876,58,19,2,230000.0
4c50b92c9737503d8f7d9f3556c27848b39d4ca3,sell,apartment,Serrinha,Goiás,-16.724855,-49.277876,63,7,2,235000.0
3d1bd578df9848bd7e13483a56c77e49410fabf0,sell,apartment,Serrinha,Goiás,-16.724855,-49.277876,63,7,2,235000.0
9e051f95ef87a0948e16c4ce8ffe4570ccb014f1,sell,apartment,Alto da Glória,Goiás,-16.730607,-49.285175,117,3,3,620000.0
7a04c9688b91064cd1daf01f2d439ad9d08389e2,sell,apartment,Vila Rosa,Goiás,-16.743215,-49.284791,57,3,2,200000.0
cff3fdbcba597cd728917302c45091eadc08f3a3,sell,apartment,Aparecida de Goiânia,Goiás,-16.757278,-49.264909,56,3,2,155000.0
563c383084100b510bf1fb51f98b7a3bef7bc01c,sell,apartment,Freguesia (Jacarepaguá),Rio de Janeiro,-22.931095,-43.338717,61,5,1,395000.0
33b9c40489b54145e4f77e3cb6f2fbd1dc60c616,sell,apartment,Freguesia (Jacarepaguá),Rio de Janeiro,-22.935849,-43.352269,54,7,1,368000.0
1b8ab5a03c8ee9417270db4c9f8f08a74ef29452,sell,apartment,Freguesia (Jacarepaguá),Rio de Janeiro,-22.941892,-43.359084,97,6,1,598000.0
d3e3f27f7c44741aec318444942f963993e9f0af,sell,house,Barra da Tijuca,Rio de Janeiro,-22.999063,-43.420999,351,3,3,3200000.0
d8326971008b37c8f075d985a74ec29abab3aa18,sell,apartment,Chácara Klabin,São Paulo,-23.592222,-46.627778,150,1,3,990000.0
572b2450d87154f315d9743b96d98fa95fd31f6e,sell,apartment,Jardim,São Paulo,-23.650137,-46.536533,280,16,4,2600000.0
8ad7095ba79ca030ad32eed6d1fd1db4583c14c5,sell,apartment,Santo André,São Paulo,-23.672533,-46.513397,57,19,2,360000.0
689968c92f899c86abcd8769ec0ea075dc75e35b,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,35,12,1,165000.0
1d03f842a20145bc91211aca53d608a57d1d153b,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,47,3,1,150000.0
acd1d309369e336d0d1fff586c5edb508da4bc88,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,34,2,1,135000.0
409377e40542f0eebbf6d46e06f29c137f48eefb,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,65,3,1,170000.0
054682abcee3f156ae1cea674c7453bdef49cf46,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,61,1,1,140000.0
c59c68b86caacbff444f2a191787cd99dd98a731,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,91,1,2,374000.0
2223e5dd5906679167f37e3adbd10da78e52cc5e,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,70,8,2,240000.0
9b2c143f05a4ec6bff956a918cc4d6c87300695c,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,110,2,2,310000.0
923eacafa20ba89c96dda49257ef99069637b93b,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,82,2,2,260000.0
1671b911c959ebee6145b2ec7fd59668dc079872,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,60,10,2,230000.0
72e5ca081682a8f13202c5ae57c63ad90d65753a,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,32,9,1,140000.0
255b442a8a11a048c7f98fa46c55d58cc35a5c05,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,75,3,2,230000.0
557eae2e7e99dcb36101376843dcff3d7554bfb3,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,45,2,1,170000.0
e0d55a2119310527ee1ddbf475f2e9b7f62f248f,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,86,12,2,420000.0
67ff9aff6daf2950a87fe7cac3eea83c42ead7d5,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,36,2,1,150000.0
c821e62ebfb91cac206d37b396aba3a09ee38c80,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,60,9,1,170000.0
08a08c8b609baf89bb624f95b0c0a5c765bb6c96,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,88,1,2,310000.0
9abc5fad21b8eb473858ff55ed087aefc6d6fdde,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,116,8,3,450000.0
df573d766a6eb5ff78a2a936c517dcd91a517233,sell,apartment,Praia Grande,São Paulo,-24.009512,-46.422485,55,3,2,290000.0
dd5b5a75b252ca51032ff9779d06eb6392c3bb3f,sell,apartment,Praia Grande,São Paulo,-24.010521,-46.398472,87,3,2,350000.0
dbe88d53c2f072484efd233b3ae96c61e3b64933,sell,apartment,Praia Grande,São Paulo,-24.010521,-46.398472,60,7,1,200000.0
271e8e628838ecf0694fd10f44b2976877725449,sell,apartment,Praia Grande,São Paulo,-24.010521,-46.398472,65,14,2,280000.0
b23b8acddb39200ae0c65638d78b73457b240b6a,sell,apartment,Praia Grande,São Paulo,-24.010521,-46.398472,47,12,1,180000.0
bf1252efa03530ee43e87918cb0dae48cbd43777,sell,apartment,Praia Grande,São Paulo,-24.010521,-46.398472,40,2,1,135000.0
0ce605c9c6d51f6a77edeb43a24817a68cff8c2f,sell,apartment,Praia Grande,São Paulo,-24.010521,-46.398472,65,16,2,337000.0
